time (s) 	ai1 (K)	ai2 (K)	ai3 (K)	ai4 (K)	ai5 (K)	ai6 (K)	ai7 (K)	ai8 (K)	ai9 (K)
2.01336	1233.15	1232.833003493	1233.056001066	1232.832964664	1232.926963599	1232.778039982	1232.998976028	1232.775978456	1232.927002427
2.11851	1233.15	1232.77690399	1233.037001243	1232.781960344	1232.89195916	1232.718931637	1232.976972477	1232.718074952	1232.892002723
2.22822	1233.15	1232.717104416	1233.021001362	1232.724955194	1232.853953832	1232.648922758	1232.944968926	1232.648071756	1232.851003138
2.34023	1233.15	1232.655005032	1233.002001539	1232.657950045	1232.805948505	1232.575912992	1232.919964487	1232.572967979	1232.803003493
2.4568	1233.15	1232.580105541	1232.976001658	1232.585843368	1232.754942291	1232.492002693	1232.884960047	1232.487864203	1232.752003907
2.57566	1233.15	1232.500106133	1232.954001894	1232.505837331	1232.700935188	1232.396892572	1232.842956496	1232.393960818	1232.701004322
2.69909	1233.15	1232.412006867	1232.925002072	1232.414931045	1232.639928973	1232.294880142	1232.804951169	1232.292856213	1232.637004795
2.82481	1233.15	1232.316007578	1232.893002309	1232.318924179	1232.57592187	1232.183768245	1232.75994673	1232.175951939	1232.573005269
2.9551	1233.15	1232.210008288	1232.864002486	1232.212916366	1232.49891388	1232.060855283	1232.711941403	1232.053047784	1232.496005802
3.08767	1233.15	1232.094008998	1232.829002782	1232.10180892	1232.421905889	1231.925841965	1232.653936076	1231.923842659	1232.419006334
3.22482	1233.15	1231.969909851	1232.79000296	1231.974900859	1232.334897899	1231.780828648	1232.595930749	1231.775836977	1232.332006867
3.36425	1233.15	1231.840010656	1232.755003256	1231.840792525	1232.24488902	1231.629813554	1232.534924534	1231.619931934	1232.2350074
3.50825	1233.15	1231.695011544	1232.703003493	1231.697883635	1232.144880142	1231.458798461	1232.463918319	1231.45592637	1232.135007992
3.65454	1233.15	1231.540012432	1232.658003789	1231.549874165	1232.034871264	1231.277783368	1232.392912104	1231.274920747	1232.032008643
3.8054	1233.15	1231.377113296	1232.613004085	1231.382764943	1231.921861497	1231.088666144	1232.311905889	1231.080915184	1231.919009294
3.95855	1233.15	1231.204914291	1232.558004381	1231.209856053	1231.798851731	1230.886750518	1232.227898787	1230.879009312	1231.796009946
4.11627	1233.15	1231.019015214	1232.503004677	1231.021846583	1231.672841077	1230.667633294	1232.143891684	1230.659903168	1231.663010597
4.27856	1233.15	1230.818016221	1232.438004973	1230.825735645	1231.536830423	1230.43851607	1232.049884581	1230.432896717	1231.527011307
4.44313	1233.15	1230.610017168	1232.373005269	1230.617726174	1231.390819769	1230.193599556	1231.955877479	1230.190789685	1231.381012018
4.61228	1233.15	1230.393918257	1232.308005565	1230.396715816	1231.237810003	1229.940580912	1231.851870376	1229.932883932	1231.228012669
4.78371	1233.15	1230.162919264	1232.24000592	1230.170604878	1231.078798461	1229.670563155	1231.737863273	1229.66777696	1231.069013438
4.95971	1233.15	1229.918920329	1232.165006216	1229.928694272	1230.912787807	1229.390545398	1231.62385617	1229.380770509	1230.903014149
5.138	1233.15	1229.667921336	1232.087006571	1229.677683914	1230.736777153	1229.099627109	1231.50684818	1229.089863868	1230.727014859
5.32086	1233.15	1229.406022377	1232.002006867	1229.413673615	1230.550766499	1228.794508109	1231.379840189	1228.784756895	1230.538015629
5.5083	1233.15	1229.129923467	1231.917007163	1229.139662369	1230.358754069	1228.469389109	1231.245833087	1228.459649923	1230.349016398
5.69802	1233.15	1228.843824556	1231.829007518	1228.853551431	1230.162743415	1228.13847082	1231.108825096	1228.128743282	1230.153017109
5.89231	1233.15	1228.548925657	1231.741007874	1228.551640824	1229.953731873	1227.78755253	1230.971817106	1227.782736061	1229.944017878
6.09117	1233.15	1228.234926723	1231.64600817	1228.244629637	1229.734720331	1227.427332288	1230.824809115	1227.419729728	1229.725018648
6.29231	1233.15	1227.918827812	1231.548008525	1227.923619279	1229.51570879	1227.056413998	1230.670802012	1227.046722448	1229.506019417
6.49803	1233.15	1227.586928854	1231.443008821	1227.596608093	1229.279698136	1226.671294999	1230.513794022	1226.661615476	1229.270020128
6.70832	1233.15	1227.242929919	1231.342009235	1227.252596847	1229.040686594	1226.270376709	1230.349786919	1226.260708835	1229.031020897
6.9209	1233.15	1226.891030961	1231.230009472	1226.90068624	1228.801675052	1225.85945842	1230.182778929	1225.852601922	1228.792021667
7.13805	1233.15	1226.529832134	1231.119009886	1226.536675941	1228.545664398	1225.43433942	1230.008771826	1225.429594641	1228.536022377
7.35977	1233.15	1226.157933175	1231.004010182	1226.162664695	1228.286652856	1224.99922042	1229.831763835	1224.991688888	1228.277023147
7.58377	1233.15	1225.774834206	1230.886010538	1225.784454065	1228.020642202	1224.556201776	1229.654755845	1224.546581916	1228.008023917
7.81235	1233.15	1225.380835271	1230.761010834	1225.390442819	1227.74163066	1224.098284374	1229.460748742	1224.086575524	1227.732024627
8.0455	1233.15	1224.978936313	1230.643011189	1224.981533101	1227.462619118	1223.623165375	1229.273740752	1223.615668883	1227.453025397
8.28093	1233.15	1224.565837343	1230.515011544	1224.575422162	1227.176608464	1223.143147618	1229.076732761	1223.138461271	1227.167026107
8.52094	1233.15	1224.14483835	1230.38001184	1224.154411804	1226.88059781	1222.653129861	1228.872725658	1222.643555459	1226.871026817
8.76551	1233.15	1223.712939391	1230.245012136	1223.722501198	1226.574587156	1222.153112104	1228.668718556	1222.143549067	1226.565027528
9.01466	1233.15	1223.264940339	1230.110012432	1223.274491728	1226.268576502	1221.633094348	1228.454711453	1221.623542674	1226.259028238
9.2661	1233.15	1222.818841428	1229.972012787	1222.828380789	1225.952565848	1221.113076591	1228.237703463	1221.103536282	1225.943028949
9.5221	1233.15	1222.358742399	1229.827013083	1222.36827068	1225.636555194	1220.576059722	1228.02369636	1220.566529831	1225.627029659
9.78268	1233.15	1221.890743346	1229.682013379	1221.90026121	1225.303545428	1220.031143208	1227.799689257	1220.021624018	1225.29403031
10.0478	1233.15	1221.413944305	1229.537013675	1221.423451183	1224.967534774	1219.476924741	1227.565682154	1219.467417295	1224.958031021
10.3153	1233.15	1220.926845217	1229.38901403	1220.936341962	1224.634525007	1218.915009115	1227.33467594	1218.903411731	1224.625031672
10.5873	1233.15	1220.435846223	1229.234014326	1220.445331604	1224.288514353	1218.338892779	1227.100668837	1218.32940522	1224.279032382
10.8638	1233.15	1219.932947087	1229.079014622	1219.942422713	1223.935504587	1217.753976265	1226.856661734	1217.744499408	1223.926033033
11.145	1233.15	1219.424948035	1228.917014859	1219.434413243	1223.582494821	1217.159960284	1226.615655519	1217.150493844	1223.573033685
11.4307	1233.15	1218.907848946	1228.759015214	1218.917304022	1223.219485055	1216.554744481	1226.361648417	1216.544387641	1223.210034336
11.7187	1233.15	1218.380749858	1228.597015451	1218.3901948	1222.849476176	1215.94492921	1226.110642202	1215.935482658	1222.840034928
12.0113	1233.15	1217.847850722	1228.432015747	1217.85728591	1222.47646641	1215.329713407	1225.859635987	1215.319376455	1222.467035579
12.3084	1233.15	1217.310751634	1228.260015984	1217.320176688	1222.103456644	1214.698698313	1225.598629772	1214.689271081	1222.09403623
12.6102	1233.15	1216.765752522	1228.08501628	1216.775168106	1221.713447766	1214.066782687	1225.334622669	1214.057365209	1221.704036822
12.9165	1233.15	1216.208853268	1227.913016517	1216.218260044	1221.330437999	1213.418768482	1225.073616455	1213.409360474	1221.321037473
13.2273	1233.15	1215.646854097	1227.738016813	1215.656251403	1220.933430009	1212.767753389	1224.80261024	1212.758354851	1220.924038006
13.5428	1233.15	1215.079755008	1227.563017109	1215.089142181	1220.533421131	1212.102740071	1224.524604913	1212.093350057	1220.524038598
13.8605	1233.15	1214.507755837	1227.381017345	1214.515033847	1220.133412252	1211.432625511	1224.25059781	1211.423244683	1220.12403919
14.1828	1233.15	1213.92665663	1227.199017582	1213.936026094	1219.723403374	1210.76251095	1223.972592483	1210.753139309	1219.714039782
14.5096	1233.15	1213.339757376	1227.017017819	1213.349118032	1219.316395383	1210.079597988	1223.691586268	1210.070235154	1219.307040315
14.8411	1233.15	1212.749858181	1226.832018115	1212.757110338	1218.896386505	1209.391583782	1223.403580941	1209.382229471	1218.887040907
15.1771	1233.15	1212.151758915	1226.640018352	1212.160202276	1218.479378514	1208.696570465	1223.115575614	1208.687224677	1218.47004144
15.5177	1233.15	1211.542759685	1226.455018648	1211.552094771	1218.052370524	1207.99245768	1222.824569399	1207.982219883	1218.043041973
15.8628	1233.15	1210.933760455	1226.263018885	1210.943087017	1217.625362533	1207.281645073	1222.526564072	1207.27021503	1217.616042505
16.2125	1233.15	1210.315661189	1226.071019121	1210.324979512	1217.188354543	1206.565431933	1222.228558745	1206.555210235	1217.179043038
16.5668	1233.15	1209.691761875	1225.872019299	1209.701072338	1216.751346552	1205.84251897	1221.930553418	1205.82620627	1216.742043571
16.9257	1233.15	1209.06366261	1225.677019595	1209.072964833	1216.314338562	1205.111407073	1221.629547203	1205.101201476	1216.305044104
17.2891	1233.15	1208.429763296	1225.478019773	1208.43905766	1215.867330571	1204.371494999	1221.324542764	1204.36219751	1215.858044637
17.6571	1233.15	1207.793764007	1225.276020009	1207.800950154	1215.413323468	1203.630383102	1221.016537437	1203.621092905	1215.40404511
18.0297	1233.15	1207.148664682	1225.074020246	1207.155843537	1214.959316366	1202.88137156	1220.701532998	1202.871188691	1214.950045584
18.4069	1233.15	1206.497765309	1224.865020424	1206.504937251	1214.505309263	1202.124460373	1220.383527671	1202.113084974	1214.496046057
18.7886	1233.15	1205.842665984	1224.663020661	1205.851930326	1214.04130216	1201.365448831	1220.068523232	1201.356180701	1214.032046531
19.1749	1233.15	1205.182666576	1224.451020897	1205.19102404	1213.577295058	1200.602236579	1219.750517905	1200.588076984	1213.568047004
19.5658	1233.15	1204.519667227	1224.242021075	1204.528017115	1213.113287955	1199.830426635	1219.432512578	1199.82117271	1213.104047478
19.9612	1233.15	1203.854567902	1224.030021312	1203.862910498	1212.639280852	1199.052315626	1219.107508139	1199.043068993	1212.630047952
20.3612	1233.15	1203.183668529	1223.821021489	1203.192904461	1212.168274637	1198.276304972	1218.782503699	1198.267064968	1212.159048366
20.7658	1233.15	1202.506669062	1223.602021667	1202.512898423	1211.694267535	1197.490294318	1218.454498372	1197.481060944	1211.68504884
21.1749	1233.15	1201.826669654	1223.390021904	1201.832892386	1211.21326132	1196.702183309	1218.122494821	1196.688057807	1211.204049254
21.5887	1233.15	1201.143670305	1223.171022081	1201.15078571	1210.729254217	1195.909173543	1217.787490382	1195.892053782	1210.720049728
22.007	1233.15	1200.456670838	1222.952022259	1200.462880312	1210.248248002	1195.108264132	1217.459485055	1195.096950006	1210.232050083
22.4321	1233.15	1199.758771407	1222.733022437	1199.765874215	1209.757241788	1194.303154011	1217.117481503	1194.29304662	1209.748050556
22.8618	1233.15	1199.059671963	1222.511022673	1199.066768426	1209.256235573	1193.492244599	1216.782477064	1193.480942785	1209.250050912
23.2961	1233.15	1198.359672555	1222.285022792	1198.366762389	1208.765229358	1192.677134478	1216.437472625	1192.663040228	1208.756051385
23.735	1233.15	1197.654773064	1222.063023029	1197.65975724	1208.264223143	1191.8571256	1216.095469074	1191.847036203	1208.25805174
24.1784	1233.15	1196.945673621	1221.834023206	1196.954851783	1207.766217816	1191.034115834	1215.750464635	1191.024933315	1207.757052155
24.6264	1233.15	1196.231674094	1221.608023325	1196.238746882	1207.258212489	1190.207107843	1215.405460195	1190.197029811	1207.24905251
25.0813	1233.15	1195.514674627	1221.379023502	1195.523841425	1206.754205386	1189.374098077	1215.053456644	1189.364926922	1206.748052924
25.5407	1233.15	1194.795575184	1221.15002368	1194.799836216	1206.239200947	1188.537090086	1214.701453093	1188.527023419	1206.23005328
26.0048	1233.15	1194.071575657	1220.921023857	1194.077730486	1205.728194732	1187.699181563	1214.346448653	1187.687920471	1205.719053694
26.4733	1233.15	1193.34457619	1220.689024094	1193.348825858	1205.220189405	1186.85707233	1213.994445102	1186.847917275	1205.211054049
26.9465	1233.15	1192.613576604	1220.453024213	1192.621820708	1204.702184078	1186.010064339	1213.639440663	1185.998814327	1204.693054404
27.4265	1233.15	1191.879577078	1220.217024331	1191.885715808	1204.174178751	1185.160055461	1213.280437999	1185.143911711	1204.1680547
27.9111	1233.15	1191.143477575	1219.985024568	1191.146811179	1203.656173424	1184.303948003	1212.918434448	1184.293908515	1203.647055115
28.4002	1233.15	1190.401578025	1219.749024686	1190.410706278	1203.128168097	1183.449040367	1212.556430897	1183.434805567	1203.122055411
28.894	1233.15	1189.660578439	1219.510024864	1189.66670107	1202.603163658	1182.585033265	1212.194427345	1182.572902892	1202.594055766
29.3945	1233.15	1188.914478937	1219.264024982	1188.917797388	1202.075158331	1181.718025274	1211.829422906	1181.705900584	1202.066056121
29.8997	1233.15	1188.165579327	1219.02502516	1188.171692487	1201.547153004	1180.851017284	1211.460420243	1180.839797577	1201.538056476
30.4094	1233.15	1187.414579742	1218.789025278	1187.420688166	1201.012148565	1179.984009293	1211.091417579	1179.96579521	1201.003056772
30.926	1233.15	1186.658480239	1218.543025397	1186.661783538	1200.474143238	1179.100902723	1210.719414028	1179.090892593	1200.465057128
31.4472	1233.15	1185.89958063	1218.301025633	1185.906578886	1199.936137911	1178.226895621	1210.347410476	1178.214789587	1199.930057424
31.9729	1233.15	1185.139481009	1218.055025752	1185.145574565	1199.394134359	1177.344988873	1209.975406925	1177.332887858	1199.38505772
32.5055	1233.15	1184.377581459	1217.80902587	1184.379670824	1198.84912992	1176.46098177	1209.603403374	1176.446784852	1198.840058016
33.0426	1233.15	1183.607481838	1217.563025989	1183.616566811	1198.304125481	1175.572773957	1209.22440071	1175.557883064	1198.295058312
33.5844	1233.15	1182.841582169	1217.314026166	1182.847662183	1197.759121042	1174.683868098	1208.845398047	1174.671780057	1197.750058608
34.1329	1233.15	1182.070582583	1217.068026285	1182.075458418	1197.211115715	1173.79196135	1208.473394495	1173.773778519	1197.202058963
34.6861	1233.15	1181.294682915	1216.812026403	1181.299554677	1196.659112163	1172.891855668	1208.084391832	1172.879776151	1196.6500592
35.2438	1233.15	1180.522483318	1216.566026521	1180.528550357	1196.111106836	1171.997848565	1207.705389168	1171.978773724	1196.105059496
